,ant,x,y
0,14,288,816
1,14,292,832
2,14,320,832
3,14,344,828
4,14,356,828
5,14,356,828
6,14,356,808
7,14,420,796
8,14,424,796
9,14,500,720
10,14,500,736
11,14,428,708
12,14,424,716
13,14,420,720
14,14,420,720
15,14,420,716
16,14,444,720
17,14,468,724
18,14,464,728
19,14,472,716
20,14,492,708
21,14,496,708
22,14,512,700
23,14,520,700
24,14,524,692
25,14,540,696
26,14,548,696
27,14,548,692
28,14,580,680
29,14,584,684
30,14,600,664
31,14,608,656
32,14,616,648
33,14,628,640
34,14,640,632
35,14,660,624
36,14,676,620
37,14,684,616
38,14,684,612
39,14,684,604
40,14,684,600
41,14,688,592
42,14,688,580
43,14,688,572
44,14,700,552
45,14,692,552
46,14,696,548
47,14,708,540
48,14,728,524
49,14,744,516
50,14,776,504
51,14,792,488
52,14,812,476
53,14,840,468
54,14,872,460
55,14,900,456
56,14,924,452
57,14,948,452
58,14,972,460
59,14,996,464
60,14,1024,464
61,14,1048,460
62,14,1064,464
63,14,1076,472
64,14,1076,516
65,14,1092,512
66,14,1096,536
67,14,1096,548
68,14,1096,548
69,14,1096,552
70,14,1096,552
71,14,1088,548
72,14,1088,548
73,14,1092,548
74,14,1084,564
75,14,1092,560
76,14,1112,548
77,14,1120,548
78,14,1176,544
79,14,1176,540
80,14,1180,540
81,14,1184,540
82,14,1184,536
83,14,1184,540
84,14,1192,540
85,14,1200,540
86,14,1204,540
87,14,1216,544
88,14,1228,540
89,14,1236,544
90,14,1236,552
91,14,1260,536
92,14,1272,532
93,14,1280,528
94,14,1300,532
95,14,1308,524
96,14,1324,524
97,14,1336,516
98,14,1336,520
99,14,1344,528
100,14,1356,532
101,14,1360,528
102,14,1364,524
103,14,1364,504
104,14,1384,496
105,14,1376,492
106,14,1376,496
107,14,1392,492
108,14,1392,492
109,14,1388,484
110,14,1392,492
111,14,1392,492
112,14,1392,488
113,14,1404,484
114,14,1408,484
115,14,1412,480
116,14,1412,476
117,14,1420,476
118,14,1428,476
119,14,1428,480
120,14,1436,476
121,14,1448,472
122,14,1464,468
123,14,1484,456
124,14,1496,452
125,14,1508,448
126,14,1524,440
127,14,1544,432
128,14,1564,424
129,14,1572,424
130,15,1876,300
131,15,1848,312
132,15,1828,316
133,15,1816,324
134,15,1812,316
135,15,1816,308
136,15,1820,308
137,15,1816,308
138,15,1820,304
139,15,1824,300
140,15,1816,300
141,15,1812,300
142,15,1800,300
143,15,1784,300
144,15,1764,296
145,15,1724,292
146,15,1688,276
147,15,1664,268
148,15,1652,268
149,15,1596,268
150,15,1564,248
151,15,1528,240
152,15,1476,208
153,15,1424,200
154,15,1360,188
155,15,1332,188
156,15,1308,172
157,15,1288,176
158,15,1288,172
159,15,1288,168
160,15,1292,172
161,15,1300,172
162,15,1312,176
163,15,1312,184
164,15,1308,188
165,15,1316,192
166,15,1324,192
167,15,1336,200
168,15,1340,208
169,15,1336,220
170,15,1332,228
171,15,1324,240
172,15,1312,252
173,15,1304,260
174,15,1292,268
175,15,1268,284
176,15,1260,296
177,15,1220,312
178,15,1176,332
179,15,1160,344
180,15,1124,368
181,15,1124,368
182,15,1140,372
183,15,1140,368
184,15,1140,364
185,15,1136,368
186,15,1132,368
187,15,1124,368
188,15,1120,364
189,15,1132,364
190,15,1136,368
191,15,1140,368
192,15,1132,368
193,15,1136,376
194,15,1140,384
195,15,1140,380
196,15,1140,380
197,15,1140,380
198,15,1140,384
199,15,1140,384
200,15,1140,384
201,15,1140,388
202,15,1140,392
203,15,1136,392
204,15,1140,392
205,15,1140,392
206,15,1140,396
207,15,1140,396
208,15,1140,396
209,15,1144,400
210,15,1132,404
211,15,1124,400
212,15,1120,412
213,15,1112,416
214,15,1112,420
215,15,1124,424
216,15,1132,424
217,15,1136,432
218,15,1116,456
219,15,1108,476
220,15,1108,484
221,15,1128,508
222,15,1132,508
223,15,1136,504
224,15,1148,504
225,15,1136,528
226,15,1124,532
227,15,1120,528
228,15,1124,532
229,15,1128,528
230,15,1140,520
231,15,1140,520
232,15,1136,528
233,15,1140,536
234,15,1128,540
235,15,1116,548
236,15,1104,552
237,15,1100,552
238,15,1092,560
239,15,1084,564
240,15,1068,572
241,15,1060,556
242,15,1044,556
243,15,1036,580
244,15,1000,604
245,15,1000,608
246,15,984,612
247,15,984,612
248,15,988,608
249,15,992,608
250,15,988,612
251,15,988,616
252,15,984,624
253,15,984,628
254,15,988,628
255,15,992,624
256,15,1000,620
257,15,1000,612
258,15,1000,612
259,15,996,604
260,15,992,604
261,15,964,624
262,15,956,636
263,15,952,632
264,15,940,636
265,15,940,636
266,15,940,636
267,15,932,664
268,15,936,660
269,15,928,656
270,15,928,656
271,15,924,652
272,15,924,652
273,15,928,648
274,15,924,648
275,15,964,628
276,15,960,628
277,15,944,624
278,15,936,624
279,15,924,620
280,15,924,624
281,15,916,620
282,15,916,620
283,15,912,620
284,15,908,620
285,15,912,620
286,15,908,620
287,15,912,620
288,15,916,620
289,15,912,616
290,15,908,616
291,15,912,620
292,15,916,624
293,15,948,612
294,15,948,608
295,15,940,604
296,15,944,600
297,15,948,596
298,15,948,584
299,15,948,584
300,15,952,576
301,15,948,568
302,15,952,564
303,15,952,564
304,15,940,532
305,15,936,524
306,15,928,520
307,15,916,516
308,15,900,504
309,15,864,496
310,15,836,500
311,15,816,508
312,15,792,516
313,15,764,524
314,15,752,532
315,15,744,536
316,15,740,536
317,15,736,540
318,15,736,540
319,15,740,540
320,15,740,540
321,15,740,540
322,15,744,540
323,15,736,540
324,15,732,540
325,15,732,540
326,15,732,536
327,15,736,536
328,15,736,536
329,15,736,536
330,15,736,540
331,15,728,536
332,15,716,536
333,15,704,536
334,15,692,532
335,15,668,528
336,15,644,520
337,15,612,500
338,15,596,492
339,15,588,476
340,15,580,464
341,15,580,456
342,15,580,452
343,15,576,448
344,15,580,448
345,15,580,444
346,15,580,440
347,15,580,440
348,15,568,424
349,15,560,412
350,15,556,408
351,15,556,404
352,15,556,400
353,15,548,396
354,15,548,396
355,15,548,396
356,15,548,396
357,15,548,396
358,15,552,396
359,15,556,396
360,15,556,392
361,15,548,392
362,15,548,392
363,19,1804,8
364,19,1772,20
365,19,1744,24
366,19,1732,36
367,19,1724,36
368,19,1732,28
369,19,1748,16
370,19,1780,12
371,19,1788,16
372,19,1804,20
373,19,1804,16
374,19,1812,16
375,19,1816,16
376,19,1808,16
377,19,1804,20
378,19,1804,24
379,19,1800,24
380,19,1800,24
381,19,1788,36
382,19,1772,44
383,19,1756,52
384,19,1732,68
385,19,1696,76
386,19,1672,84
387,19,1648,96
388,19,1628,104
389,19,1604,116
390,19,1592,124
391,19,1588,136
392,19,1576,144
393,19,1548,152
394,19,1520,164
395,19,1480,176
396,19,1452,180
397,19,1420,180
398,19,1372,188
399,19,1348,196
400,19,1308,200
401,19,1256,204
402,19,1232,204
403,19,1188,228
404,19,1152,224
405,19,1144,232
406,19,1100,236
407,19,1096,236
408,19,1100,228
409,19,1116,216
410,19,1140,220
411,19,1164,212
412,19,1164,212
413,19,1164,208
414,19,1164,208
415,19,1160,208
416,19,1156,212
417,19,1160,212
418,19,1184,208
419,19,1188,212
420,19,1200,220
421,19,1200,228
422,19,1196,232
423,19,1188,236
424,19,1180,244
425,19,1172,256
426,19,1172,260
427,19,1172,264
428,19,1168,276
429,19,1164,284
430,19,1152,308
431,19,1132,324
432,19,1108,332
433,19,1088,340
434,19,1072,336
435,19,1068,320
436,19,1028,316
437,19,980,312
438,19,952,316
439,19,916,320
440,19,892,320
441,19,856,312
442,19,812,332
443,19,796,340
444,19,776,356
445,19,780,360
446,19,736,380
447,19,708,392
448,19,680,396
449,19,636,400
450,19,604,404
451,19,572,416
452,19,520,424
453,19,488,424
454,19,472,424
455,19,460,432
456,19,436,436
457,19,408,444
458,19,388,452
459,19,352,468
460,19,336,476
461,19,316,480
462,19,288,496
463,19,260,508
464,19,228,524
465,19,204,536
466,19,160,552
467,19,132,560
468,19,104,576
469,19,64,580
470,20,44,572
471,20,60,564
472,20,80,564
473,20,96,556
474,20,116,548
475,20,112,552
476,20,96,556
477,20,92,556
478,20,92,552
479,20,92,552
480,20,96,552
481,20,116,544
482,20,136,532
483,20,156,524
484,20,180,516
485,20,188,508
486,20,200,500
487,20,220,488
488,20,232,480
489,20,244,468
490,20,260,460
491,20,260,464
492,20,260,464
493,20,260,468
494,20,252,472
495,20,252,472
496,20,252,476
497,20,260,476
498,20,276,472
499,20,296,468
500,20,312,464
501,20,332,464
502,20,352,452
503,20,372,448
504,20,384,444
505,20,396,444
506,20,408,440
507,20,412,436
508,20,420,436
509,20,436,424
510,20,448,412
511,20,460,412
512,20,472,400
513,20,488,400
514,20,496,396
515,20,504,392
516,20,524,388
517,20,548,388
518,20,572,380
519,20,596,376
520,20,620,372
521,20,640,364
522,20,664,356
523,20,668,356
524,20,724,308
525,20,752,308
526,20,760,308
527,20,760,308
528,20,756,312
529,20,824,284
530,20,836,284
531,20,828,284
532,20,876,268
533,20,884,272
534,20,892,260
535,20,928,256
536,20,932,260
537,20,968,252
538,20,1008,244
539,20,1032,236
540,20,1060,228
541,20,1076,228
542,20,1084,224
543,20,1096,216
544,20,1092,216
545,20,1076,220
546,20,1068,220
547,20,1044,232
548,20,1044,232
549,20,1044,236
550,20,1036,236
551,20,1028,244
